id,user_id,user_login,user_name,license,image_url
1880803,57756,john_barkla,John Barkla,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/2292407/medium.jpg
7685926,57756,john_barkla,John Barkla,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/10069693/medium.jpg
9980441,451919,jacog,Jaco Grundling,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/13715553/medium.jpg
19185645,787970,btree,Hannes Oberreiter,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/29486160/medium.jpeg
20275080,787970,btree,Hannes Oberreiter,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/31297910/medium.jpeg
26956547,57756,john_barkla,John Barkla,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/41892740/medium.jpg
31336106,2034659,hovmoller,Thomas Hovmøller,CC0,https://static.inaturalist.org/photos/49034564/medium.jpg
37175816,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/58890445/medium.jpg
48602226,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/77125541/medium.jpg
53224675,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/84642629/medium.jpg
53443968,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/85003293/medium.jpg
66024560,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/106348948/medium.jpg
67183996,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/108484293/medium.jpg
67186203,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/108488070/medium.jpg
67186226,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/108488108/medium.jpg
67204998,287994,crellow,Nathan Odgers,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/108522675/medium.jpg
85309604,57756,john_barkla,John Barkla,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/140344325/medium.jpeg
94541828,1494112,le0nb,Leon Billows,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/156842867/medium.jpg
99736011,57546,ria999,Ria,CC0,https://static.inaturalist.org/photos/166327567/medium.jpeg
